id	songName	storeID	author	levelToUnlock	price	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
1	Lighter	firstsnow		1	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/firstsnow.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20-%20LIGHTER%20-%20Kids%20Song%20(Official%20Video).mp3	1	0.25	0;35.0;70	1;1.05263158;1.111111111111	1650	1000	HOT	1
2	Lıke İt Level	guitar		1	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/guitar.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20-%20LIKE%20IT%20-%20Kids%20Song%20(Official%20Video).mp3	1	0.25	0;45.0;90	1;1.05263158;1.111111111111	1400	1000	HOT	1
3	Little Princess	loveandinspiration		3	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/loveandinspiration.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20-%20Little%20Princess%20-%20Kids%20Song%20(Official%20Video).mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
4	Toy City	romantic3	Smart Sounds	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/romantic3.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20TOY%20CITY%20-%20Kids%20Song%20(Official%20Video).mp3	1	0.25	0;43.4;69.5	1;1.0204081633;1.0416666667	1140	1000	NORMAL	1
5	Barbie Party	thebeautifuldanube	Johann Strauss II	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/thebeautifuldanube.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20Welcome%20to%20my%20Barbie%20Party%20-%20Kids%20Song%20(Official%20Music%20Video).mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	2
6	Play it be it	christmasukulele		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/christmasukulele.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20Play%20It%20Be%20It%20Halloween%20Kids%20Song.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
7	Candy Town	timetogrow		4	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/timetogrow.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20CANDY%20TOWN%20-%20kids%20song.mp3	1	0.25	0;40.0;80	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
8	Christmas With	rainofsakura		5	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/rainofsakura.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20Christmas%20with%20My%20Friends%20-%20Kids%20Song%20(Official%20Video).mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1800	1000	NORMAL	2
9	Halloween Kids	weddingpiano		6	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/weddingpiano.mid	https://github.com/hugojuan/config/raw/main/music/Diana%20and%20Roma%20-%20Play%20It%20Be%20It%20Halloween%20Kids%20Song.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1500	1500	NORMAL	1
10	Roma Song	emotionalorchestra	Best Audio	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/emotionalorchestra.mid	https://github.com/hugojuan/config/blob/main/music/Diana%20and%20Roma%20Sing%20Along%20Music%20Video%20Queen%20of%20Halloween%20with%20Lyrics.mp3?raw=true	1	0.25	0;45.11;75.6	1;1.0204081633;1.0416666667	1700	1000	NEW	2
11	Beautiful Piano	beautifulpiano	Light Of Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/beautifulpiano.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/beautifulpiano.mp3	1	0.25	0;37.75;75.09	1;1.0204081633;1.0416666667	1700	1000	NEW	1
12	New Year	newyear		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/newyear.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/newyear.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
13	Kid Theme	kidtheme		7	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/kidtheme.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/kidtheme.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1800	1500	NORMAL	2
14	Canvas Painting	canvaspainting		8	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/canvaspainting.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/canvaspainting.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1650	1000	NORMAL	1
38	Clear Day	clearday		20	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/clearday.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/clearday.mp3	1	0.25	0;39.0;62.0	1;1.05263158;1.111111111111	1900	1000	NORMAL	3
39	Classic Guitar	classicguitar		21	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/classicguitar.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/classicguitar.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1900	1500	NORMAL	3
40	Believe In Happiness	believeinhappiness	Serginxs	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/believeinhappiness.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/believeinhappiness.mp3	1	0.25	0;48.63;83.95	1;1.0204081633;1.0416666667	2250	1000	NEW	3
41	Childish Story 	childishstory	Actual Sound	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/childishstory.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/childishstory.mp3	1	0.25	0;42.8;87	1;1.0204081633;1.0416666667	2300	1000	NEW	3
42	Romantic	romantic	Praded	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/romantic.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/romantic.mp3	1	0.25	0;46;69.55	1;1.0204081633;1.0416666667	2700	1000	NEW	1
43	In Love	inlove		22	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/inlove.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/inlove.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	1
44	Little Idea	littleidea		23	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/littleidea.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/littleidea.mp3	1	0.25	0;55.0;78.5	1;1.11111111111;1.25	2000	1500	NORMAL	2
45	Fly With Me	flywithme		24	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/flywithme.mid	https://raw.githubusercontent.com/miodevs/cf/master/s/flywithme.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2000	1000	NORMAL	3
